"project__PROJECT_NUMBER"	"project__PROJECT_TITLE"	"project__source_url"	"project__PROJECT_START_DATE"	"project__PROJECT_END_DATE"	"project__PROJECT_OBJECTIVE"	"institution_data__INSTITUTION_NAME"	"institution_data__INSTITUTION_ADDRESS1"	"institution_data__INSTITUTION_CITY"	"institution_data__INSTITUTION_COUNTRY"	"institution_data__INSTITUTION_ZIP"	"investigator_data__name"	"institution_index__inst_id"	"investigator_index__inv_id"	"agency_index__aid"	"comment"
"05-2010B"	"A meat speciation survey of selected meat products at retail level"	"http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/A-meat-speciation-survey-of-selected-meat-products.aspx"	"2010"	"2011"	"Regulatory food authorities strive to promote honest and informative labelling to help consumers make informed choices. This aspiration must be substantiated by activities to check whether food is mis-described. EU legislation requires meat to be labelled with the animal species from which it comes, and to quantify the meat ingredients. Mechanically recovered meat falls outside this definition and cannot count towards the meat content. Similarly, other parts of the carcass such as heart, liver, kidney, etc., must also be labelled separately, and the generic term ""offal"" is not permitted. Therefore, in order to check compliance with these labelling requirements, analytical DNA-based techniques are available to detect and quantify meat species and other meat ingredients in meat products. A number of species-specific methods have been developed for the detection of beef, lamb, pork, chicken and turkey.The purpose of this project was to enhance the capacity of the Public Analyst system on the island of Ireland by facilitating the implementation of methods that could then be used to determine the authenticity of processed meat products. Method development concentrated on chicken burgers and sausages (cheaper brands). The project was part of an ongoing collaboration between safe food and the Public Analyst Laboratories and in this instance involved the Cork Public Analyst Laboratory which has been designated the National Reference Laboratory for meat speciation by the Dept. of Health & Children. In conjunction with the project, Cork PAL personnel availed of the Training and Mobility Programme travel grant scheme of the safe food Knowledge Networks to attend the JRC Joint Research Centre, Molecular Biology and Genomics Unit in Warsaw."	"Cork Public Analyst Laboratory"	""	""	""	""	"Davison, Fred"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/A-meat-speciation-survey-of-selected-meat-products.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"Synergy project"	"The Introduction and set-up of a High Performance Liquid Chromatography (HPLC) system for the detection & determination of preservatives, sweeteners, artificial colours & other additives and contaminants in specified foods"	"http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/The-Introduction-and-set-up-of-a-High-Performance.aspx"	"2001"	"2003"	"The DR-CALUX assay uses genetically modified animal cells to detect, specifically and quantitatively, toxicity caused by exposure to dioxin and dioxin-like PCBs in a wide range of matrices, including food. This assay detects dioxins based on their specific biological activity towards genetically modified living cells through light generation from the recombinant cells.  The project focussed primarily on method development."	"Public Analyst's Laboratory"	""	"Northern Ireland"	""	""	"Walker, Michael"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/The-Introduction-and-set-up-of-a-High-Performance.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"01-2010"	"The cost of overweight and obesity on the island of Ireland"	"http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/The-cost-of-overweight-and-obesity-on-the-island-o.aspx"	"2011"	"2012"	"This study provided a comprehensive assessment of the cost of overweight and obesity on the island of Ireland. Costs was measured from the perspective of public and private funded health services in relation to health and social costs and also examined costs associated with time lost at work due to ill health associated with overweight and obesity. A thorough review of the existing international literature on the costs of overweight and obesity was carried out, as were the methods used. "	"University College Cork"	""	""	""	""	"Perry, Ivan"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/The-cost-of-overweight-and-obesity-on-the-island-o.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"07-2010"	"Consumer understanding of food portion sizes"	"http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/Consumer-understanding-of-food-portion-sizes.aspx"	"2010"	"2013"	"This project aims to address the call for urgent and concerted action on the part of health professionals, industry, government departments, workplaces, schools and the general public on the escalating rates of obesity on the island of Ireland - if the problem is to be attenuated and reversed.However, given that established obesity is largely immutable to remedial action, there is an urgent need to focus attention on those environmental factors, including portion size, that are amenable to preventive action. Simply educating consumers about what foods to eat, or not to eat is clearly not enough; an equally important challenge is to get consumers to appreciate the importance of and act on the quantity of food being consumed. Currently, however, on the island there is a paucity of data on consumer understanding and behaviour around portion size, a gap which needs to be addressed in order to initiate clear and meaningful practical advice about portion sizes that will resonate with consumers."	"University of Ulster"	""	"Coleraine"	""	""	"Livingstone, Barbara"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/Consumer-understanding-of-food-portion-sizes.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"16-2009"	"Good days and bad days: an investigation of the habits of shoppers when they do or don't buy healthy foods"	"http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/Good-days-and-bad-days-an-investigation-of-the-ha.aspx"	"2010"	"2011"	"This project undertook a comprehensive programme of research to better understand the habits of shoppers and to determine when they do and don’t buy healthy foods. The research provided an understanding of the reasoning behind consumers’ food choices and explored the role of shopping practices that both promote and impede shopping behaviours that lead to healthy choices.The research:"	"Queen's University Belfast"	""	""	""	""	"Dean, Moira"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/Good-days-and-bad-days-an-investigation-of-the-ha.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"03-2008"	"Children and adolescents drinks consumption"	"http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/Children-and-adolescents-drinks-consumption.aspx"	"2008"	"2008"	"The main objective of this research was to identify knowledge and practice in relation to drinks for children and young people aged 12-18 years within the context of their everyday lives.This research:"	"Dublin"	""	""	""	""	"Brown, Millward"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/Children-and-adolescents-drinks-consumption.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"02-2007"	"A Cross-Sectional study of an Irish population estimating dietary salt intake, and its association with other lifestyle related risk factors"	"http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/A-Cross-Sectional-study-of-an-Irish-population-est.aspx"	"2007"	"2009"	"The Irish population consume a high salt diet. Chronic high salt intake is associated with hypertension and other adverse life style factors like obesity and lack of physical exercise. A description of salt intake in the population can be performed by measuring urinary excretion of salt while additional useful information can be acquired using a detailed food questionnaire.The study sampled two distinct groups of healthy individuals to ensure representation of all age groups within the adult population. The first population was based on a group of subjects of 45 years and older. These subjects are at a higher risk of cardiovascular disease. In this population the study described both the level of salt intake and also the distribution of hypertension and other risk factors in this population such as lipid profile, smoking, physical exertion and glucose intolerance. These subjects used a cluster method of sampling based on the SLAN 06 sampling methods. A detailed local study in UCC included younger subjects.  This measured dietary intake of salt in younger subjects. Core measurement of 24 hour excretion of sodium was made in 700 individuals and 1,600 spot urine samples were analysed."	"University College Cork"	""	""	""	""	"Perry, Ivan"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/A-Cross-Sectional-study-of-an-Irish-population-est.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"04-PG-20"	"Longitudinal study of changes in body mass index (BMI), anthropometric measures, dietary intake and physical activity in cohorts of school going adolescents in both Junior and post-Junior cycles"	"http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/Longitudinal-study-of-changes-in-body-mass-index-(.aspx"	"2004"	"2007"	"Worldwide, the prevalence of childhood obesity is increasing. Obesity in adolescence is a strong predicator of adult obesity. This project involved a longitudinal study over a 3-year period of changes in Body Mass Index (BMI) and other anthropometric measures together with information on dietary and exercise patterns in a cohort of students in the junior school cycle.A similar longitudinal survey was conducted in a second cohort of students in the post-junior cycle. This generated new data on the adolescent age group 12-18 yrs. This data is important in understanding the evolution during adolescence of changes in anthropometric measures and dietary and exercise patterns, which tend to be maintained into adulthood where they have a major impact on chronic disease. "	"University College Cork"	""	""	""	""	"O'Connor, Nora O'Brien & Tom"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/Longitudinal-study-of-changes-in-body-mass-index-(.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"03-RESR-017"	"A systematic review of the effectiveness of social marketing models in communicating nutrition and food safety messages"	"http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/A-systematic-review-of-the-effectiveness-of-social.aspx"	"2003"	"2004"	"A rigorous s ystematic review of the literature in relation to models of social marketing was carried out, examining both national and international research and critically evaluating best models for communication of nutrition and food safety messages.The key objectives of this project were to identify the most effective methods in terms of positive impact on knowledge, perception and behaviour, and to make recommendations for further research based on the material reviewed."	"University of Stirling"	""	""	""	""	"Hastings, Gerard"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/A-systematic-review-of-the-effectiveness-of-social.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"01-RESR-001"	"Dietary strategies for achievement of nutritional goals for healthy eating: towards evidence based public health nutrition programmes"	"http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/Dietary-strategies-for-achievement-of-nutritional.aspx"	"2001"	"2003"	"The principal objective of this research was to identify dietary strategies for achievement of key nutritional goals by population groups, which are considered important to public health: energy balance, overweight, and obesity, intakes of total fat and fatty acids, intakes of fruits, vegetables, fibre and carbohydrates."	"University College Cork"	""	""	""	""	"Flynn, Albert"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/Dietary-strategies-for-achievement-of-nutritional.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"04-2009"	"Salt levels in ready-to-eat soup purchased in catering establishments"	"http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/Salt-levels-in-ready-to-eat-soup-purchased-in-cate.aspx"	"2010"	"2011"	"The aim of this survey was to provide a snap shot of the salt content of soup from a range of catering outlets on the island. The survey set out to investigate any differences in the salt content of soups that claim to be ""homemade/freshly prepared"" versus other types of soups sold in catering outlets.The results will be used to communicate salt reduction messages to consumers and the food industry. "	"Eolas International Research Ltd., Co."	""	"Cork"	""	""	"Kirwan, Fidelma"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/Salt-levels-in-ready-to-eat-soup-purchased-in-cate.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"10-2009"	"Family eating out events ""outside of the home"""	"http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/Family-eating-out-events-outside-of-the-home.aspx"	"2010"	"2012"	"This project aimed to carry out a full review of literature, fully referenced, and any other relevant sources to ascertain best practice in providing healthy and nutritious food for children within the catering sector. A quantitative survey to investigate the range of children’s meals available in different types of catering outlets in the Republic of Ireland and Northern Ireland was carried out by conducting an on-site survey.The catering outlets included dispersion between rural and urban setting, high end and less expensive offerings, local independents and international chains. Attitudes and experiences of parents and guardians of children aged 5 – 12 years were investigated when faced with the menu options available when eating outside the family home. Key areas of investigation included concerns about nutrition, key motivators in final meal selection, and where ultimate responsibility for choice of menu lies – i.e. parent or child. An investigation into the attitudes of children aged 5 – 12 years old on food and eating occasions outside the family home was also carried out.This was conducted through a series of friendship pairs, restricted to tightly controlled age bands across both Northern Ireland and the Republic of Ireland, with the objective of understanding how children perceive eating out, and whether nutrition or healthy content is part of the consideration set."	"University of Ulster"	""	"Coleraine"	""	""	"Livingstone, Barbara"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/Family-eating-out-events-outside-of-the-home.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"03-CHR-01"	"Hit on Health: a healthy food initiative in takeaway/fast-food outlets"	"http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/Hit-on-Health-a-healthy-food-initiative-in-takeaw.aspx"	"2003"	"2004"	"Food sold in fast-food outlets tends to be energy-dense and often low in other nutrients such as vitamins and minerals. This is of concern as studies have shown that a high fat, energy-dense diet and sedentary lifestyle are strongly associated with the increased risk of obesity.Building on the ""Happy Heart"" catering award, which was active within two health boards in the Republic of Ireland, this project endeavoured to educate and promote healthy food and healthy eating within the fast food industry. It provided an opportunity for consumers to make healthy choices, and also provided education and positive publicity for the retailer."	"HSE-Midlands"	""	""	""	""	"Purtill, Elmary"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/Hit-on-Health-a-healthy-food-initiative-in-takeaw.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"08-2009"	"A survey of health professional attitudes to body weight status"	"http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/A-survey-of-health-professional-attitudes-to-body.aspx"	"2010"	"2011"	"This project conducted a survey to assess the attitudes, current practices/behaviours and knowledge of key health professional groups on an all-island basis, by means of telephone interviews (with GPs) and focus groups (with other health professionals), followed by an online survey to determine the attitudes, current practices and knowledge of the target health professional groups in relation to body weight status.The health professional groups included Public Health Nurses (community; postnatal home and clinic visits and developmental checks); Public Health Nurses (schools); Health Visitors (clinics and community-based); School Nurses; GPs and Practice Nurses (primary care) and Occupational Health Nurses (workplace), all on an all-island basis.A full review of literature and any other relevant sources to explore the role of the target health professionals in tackling obesity through spontaneous intervention in a variety of health promotion settings was carried out. An online study to assess health professionals’ ability to recognise overweight and obesity in adults and children was also undertaken."	"University of Ulster"	""	"Jordanstown"	""	""	"Moorhead, Anne"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/A-survey-of-health-professional-attitudes-to-body.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"04-RESR-14"	"Directory of nutrition activities on the island of Ireland"	"http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/Directory-of-nutrition-activities-on-the-island-of.aspx"	"2001"	"2001"	"Through discussions with key stakeholders in the nutrition field on the Island of Ireland the need for an all island directory of nutrition activities was identified. Dieticians form the largest stakeholder group in nutrition on the island of Ireland. The Irish Nutrition & Dietetic Institute (INDI) was commissioned to carry out the project. The first phase in the development of the directory was the creation of a database of activities in the dietetics field (acute, primary care, health promotion and research) activities in both Northern Ireland and the Republic of Ireland.The outcomes of this project have formed the core of a directory of all nutrition activities on the island, with the overall aim of providing health professionals and other key stakeholders in the nutrition field with a valuable information resource that will facilitate exchange of information and collaboration. "	"Teagasc Food Research Centre"	""	"Dublin"	""	""	"Bolton, Declan"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/Directory-of-nutrition-activities-on-the-island-of.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"08-2010"	"Early school leavers: a needs assessment from a nutrition perspective"	"http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/Early-school-leavers-a-needs-assessment-from-a-nu.aspx"	"2010"	"2011"	"This project aimed to carry out a systematic review of the services, structures and networks for early school leavers in both Northern Ireland and the Republic of Ireland. A telephone survey of existing service providers was carried out in order to identify (1) the key existing health promotion activities and (2) the gaps in activities focussing on healthy eating and active lifestyles that target early school leavers.All potential healthy eating and physical activity related programmes appropriate and acceptable to the target audience were also identified. "	"Trinity College Dublin"	""	""	""	""	"Share, Michelle"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/Early-school-leavers-a-needs-assessment-from-a-nu.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"09-2010"	"Food Marketing and the preschool child"	"http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/Food-Marketing-and-the-preschool-child.aspx"	"2011"	"2013"	"The overall aim of the project was to investigate the level and types of exposure of young children to marketing of unhealthy food and to examine its influence on family food purchases and children’s nutritional status. A literature review explored the relationship between food marketing practices and children’s diets, explored methodologies in this domain and examined current policies globally."	"University College Dublin"	""	""	""	""	"Wall, Patrick"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/Food-Marketing-and-the-preschool-child.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"01-2008"	"To develop a validated nutrition evaluation and nutrition information resource for the pre-school setting to promote an improved nutrition environment and food provision in this setting"	"http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/To-develop-a-validated-nutrition-evaluation-and-nu.aspx"	"2008"	"2012"	"Establishing good lifestyle habits, including positive attitudes and behaviours around food is one of the key cornerstones to shaping future health. This starts during the pre-school years when children grow rapidly and begin to learn about the environment around them. Providing an environment that supports healthy eating both at home and at school is important.Early nutrition intervention is a priority for safe food . This project aimed to meet this priority through establishing an incentive scheme for full day care pre-schools in an effort to help improve their nutrition practices. The project supports the implementation of the Food and Nutrition Guidelines for Pre-School Services by facilitating pre-schools to promote nutrition standards and food safety through the use of a motivational model.A simple randomised study was carried out with direct observational data recorded both pre- and post-intervention, using a specifically developed and validated Pre-school Health Promotion Activity Scored Evaluation Form. Post-intervention, self-assessment data were also collected using the same evaluation tool. Ensuring parental involvement was seen as key in this process, as was the inclusion of a representative sample of pre-schools from all socio-economic backgrounds."	"HSE - Dublin Mid-Leinster"	""	""	""	""	"Slattery, Corina Glennon"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/To-develop-a-validated-nutrition-evaluation-and-nu.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"02-RESR-009"	"Communicating the healthy eating message: Use of an interactive multi-media CD-ROM for the prevention of obesity in 8-9 year old children"	"http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/Communicating-the-healthy-eating-message-Use-of-a.aspx"	"2003"	"2005"	"There is an urgent need to develop novel, effective, positive and personally relevant communication strategies to improve dietary habits in childhood when individual attitudes towards food are being formed. The overall aim of the study was to design, develop, pilot test and evaluate a multimedia CD-ROM for communicating healthy eating messages to 8-9 year old children. The approaches used to develop the CD-ROM were based on the teaching practices of social learning theory, which combined increased knowledge about food and nutrition with other spheres of influence such as the environment, personal attributes, behavioural skills and experience.In 2008, based on the findings of this research, safe food created Tastebuds; a resource for primary school children in the Republic of Ireland. Then in 2011 s afe food also worked in collaboration with the Public Health Agency in Northern Ireland to develop a version of the resource for primary schools in Northern Ireland, namely Eat, Taste and Grow. Both resources are an interactive CD designed for 8 – 10 year olds and aim to help children enjoy learning about the origins and production of food and the importance of eating a balanced diet,"	"University of Ulster"	""	""	""	""	"Livingstone, Barbara"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/Communicating-the-healthy-eating-message-Use-of-a.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"05-2009"	"Food poverty in four household groups"	"http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/Food-poverty-in-four-household-groups.aspx"	"2010"	"2010"	"This research aimed to investigate, using focus groups, the barriers and facilitators to healthy eating among the four most common household groupings that are most at risk of food poverty on the island of Ireland. It investigated the barriers and facilitators to healthy eating among the main ""food/fridge keeper"" of these household groupings and investigated the associated commonalities and differences."	"Dublin"	""	""	""	""	"Lansdowne, Millward Brown"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/Food-poverty-in-four-household-groups.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"04-RESR-01"	"Food poverty in Northern Ireland"	"http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/Food-poverty-in-Northern-Ireland.aspx"	"2005"	"2006"	"There is a growing awareness of food and nutrition as determinants of short and long term public health. The quality and quantity of food intake is a contributory factor in the main causes of morbidity and mortality. Poverty, of which food insecurity is a key component, compromises an individual’s ability to acquire and adequate and nutritious diet. Barriers to dietary improvement are diverse ranging from issues surrounding affordability access and psychosocial factors.The project aimed to determine the nature and extent of food poverty in Northern Ireland with a view to developing policies and practical initiatives to tackle the issue and increase awareness of the importance of food and nutrition from a low-income perspective. This project aimed to heighten awareness at both strategic and operational level of the issue of food poverty and the implications for public health. This work also assisted in informing other key policy areas which safe food is currently engaged in, such as the development of an all island Food and Nutrition forum and the Working Group on Food and Nutrition Strategy."	"Northern Ireland Public Health Alliance"	""	""	""	""	"McFarlane, Gary"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/Food-poverty-in-Northern-Ireland.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"03-RESR-006"	"Dietary patterns, food intakes, attitudes and their determinants among low socio-economic adults and children and an in depth quantitative and qualitative analyses"	"http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/Dietary-patterns,-food-intakes,-attitudes-and-thei.aspx"	"2004"	"2007"	"Numerous studies have documented socio-economic differences in nutrient and food intakes, with intakes further from dietary guidelines among individuals of lower socio-economic status.  safe food therefore, commissioned a diet and nutrition survey/analysis of low-income consumers on the island of Ireland to provide statistically robust data on food consumption patterns and nutrient intake.The survey was representative of the low-income groups in the population of the whole island of Ireland and included both adults and children. This study shed light on the underlying factors (socio-demographic, attitudinal, behavioural and anthropometric) as to why low-income consumers have the dietary patterns they do."	"Dublin Institute of Technology"	""	""	""	""	"Kearney, John"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/Dietary-patterns,-food-intakes,-attitudes-and-thei.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"03-RESR-011"	"Standard of healthy living on the island of Ireland"	"http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/Standard-of-healthy-living-on-the-island-of-Irelan.aspx"	"2004"	"2005"	"Ireland experiences marked social inequalities in health, seen in the variation in health outcomes, especially mortality, across the different social groupings. Social inequality in dietary behaviour has been documented within the Republic of Ireland, but not on the island as a whole.This study determined the pattern of household and individual food purchasing and food availability information across a range of socio-demographic and socio-economic household types on the island of Ireland. It also identified a budget standard (the amount of money needed to provide a healthy diet, material security, social participation and sense of control) for a low-income family comprised of two parents and two children."	"National University of Ireland"	""	"Galway"	""	""	"Friel, Sharon"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/Standard-of-healthy-living-on-the-island-of-Irelan.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"03-RESR-004"	"All-island learning from the ""Decent Food for All"" programme"	"http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/All-island-learning-from-the-Decent-Food-for-All.aspx"	"2003"	"2006"	"The ""Decent Food for All' (DFfA) programme aims to tackle poverty by increasing food awareness and improving physical and financial access to safe healthy food. It incorporates community education, healthy lifestyle choices, regeneration of local communities and markets, and sustainability.The objectives of this research project were to assess the impact of a current DFfA programme in the Armagh and Dungannon Health Action Zones with a focus on all-island learning, identify how community-based strategies could support safe food 's all-island communication and marketing campaigns on food safety and hygiene issues, and to examine how the DFfA programme, or similar community-based strategies, could be applied across Northern Ireland and the whole island of Ireland."	"Institute of Public Health in Ireland"	""	"Dublin"	""	""	"Balanda, Kevin"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/All-island-learning-from-the-Decent-Food-for-All.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"04-PG-05"	"The effect of y-tocopherol (y-T) supplementation on y-t status, antioxidant capacity and nitrosative stress in apparently healthy smokers"	"http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/The-effect-of-y-tocopherol-(y-T)-supplementation-o.aspx"	"2005"	"2007"	"Vitamin E is found in vegetable and seed oils, in wheat germ and, in smaller quantities, in meats, fish, fruits and vegetables. Epidemiological studies have shown an inverse correlation between acute coronary events and high intake of dietary vitamin E. Vitamin E may help prevent or delay coronary heart disease by limiting the oxidation of Low-Density Lipoprotein (LDL)-cholesterol. Vitamin E also may help prevent the formation of blood clots, which could lead to a heart attack. However, clinical trials with the main form of Vitamin E have been disappointing. Currently in Ireland, approximately 25% of adults augment their diets with commercially available nutritional supplements.This study investigated the role of the different forms of vitamin E and their protective effects and examined the appropriateness of supplementation of the diet with vitamin E. The study was carried out with special reference to smokers, as other factors have to be considered in the provision of advice to this subsection of the population."	"University of Ulster"	""	""	""	""	"Wallace, JMW"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/4-Nutrition-and-Healthy-Eating/The-effect-of-y-tocopherol-(y-T)-supplementation-o.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
