"project__PROJECT_NUMBER"	"project__PROJECT_TITLE"	"project__source_url"	"project__PROJECT_START_DATE"	"project__PROJECT_END_DATE"	"project__PROJECT_MORE_INFO"	"project__PROJECT_OBJECTIVE"	"institution_data__INSTITUTION_NAME"	"institution_index__inst_id"	"agency_index__aid"	"comment"
"FS516018 and FS516019"	"Consistency in regulatory work"	"http://www.food.gov.uk/science/research/research/choiceandstandardsresearch/fs516018-19"	"2015"	"2015"	"Study 1: Consistency and cognitive influences on the expert judgement of Environmental Health Officers: An experimental study The project investigated psychological factors that lead Environmental Health Officers (EHOs) to make inconsistent judgements about catering outlets. It draws on research from the fields of ‘cognitive biases’ and ‘naturalistic decision making’ to understand decision making on food hygiene. These fields of study examine how variations in decision-making arise from heuristics (rules and habits that influence decision-making) and cognitive bias (errors that arise from a heuristic being applied incorrectly). To investigate variance in decision-making by EHOs and the extent to which psychological factors explain this variance, decision-making on food hygiene was studied through a series of experiments. Based within a food and beverage outlet at the London School of Economics and Political Science (LSE) campus, two ‘simulated kitchen’ environments were created, and EHOs were asked to inspect and assess them. Scenarios were designed to examine the impact of three specific biases upon the decision making of EHOs: anchoring, confirmation, and overconfidence. The simulated kitchens replicated aspects of a real catering environment (e.g. equipment, facilities food preparation, catering staff, food storage), and contained a number of positive (e.g. food storage) and negative informational cues (e.g. out-of-date records) that were expected to influence ratings in food hygiene (environmental health) inspections. To assess whether an ‘anchoring bias’ influences assessments of food safety, the team examined whether the assessments of the experimental catering facilities by inspectors are in-part determined by information on a previous inspection. To assess if ‘confirmation bias’ influences assessments of food hygiene, the team examined whether the decision-making of EHOs is influenced by an early informational cue presented during an inspection. To assess ‘over-confidence bias ’, the team examined whether high or low confidence in EHOs (as measured by a post-study survey on self-assessed confidence and confidence on a number of knowledge items) results in differential assessments of catering facilities. Read the report on consistency and cognitive influences on the expert judgement of Environmental Health Officers . Study 2: Analysis of LAEMS data to inform a study on inconsistencies in the delivery of official food safety controls Data from the Local Authority Enforcement and Monitoring System (LAEMS) was analysed to identify potential inconsistencies between local authorities in the delivery of official controls, in particular with regards to the Confidence in Management scoring of food establishments and enforcement activity. This was to inform the selection of local authorities for the third study: Consistency in the delivery of official food safety controls: the role of organisational-level factors . Read the report on analysis of LAEMS data to inform a study on inconsistencies in the delivery of official food safety controls Study 3: Consistency in the delivery of official food safety controls: the role of organisational-level factors The study aimed to explore how organisational-level factors impact on the delivery of official controls by local authorities, and how they might contribute to inconsistencies in (i) the scoring of Confidence in Management (CIM) in food businesses, and (ii) enforcement responses to non-compliance with food hygiene inspections. Thirteen factors were identified for exploration in the research. They were categorised into three broad themes (management practices, structure, and communications and engagement). From the outset, the Agency was interested in distinguishing variations in the delivery of official controls that might be justified or acceptable (e.g. targeted interventions), from other variations that could be considered ‘true’ inconsistencies. The latter were the core focus of this research. The study has contributed to clarifying that distinction for the field of food hygiene controls by looking at numerous specific examples arising from the data. In order to achieve this, a small-scale, comparative approach was adopted, based on a programme of qualitative research with five pairs of comparable English local authorities, representing different categories of urban-rural classification. The local authorities were selected by the FSA on the basis of the statistical analysis of the LAEMS data. Between four and six in-depth interviews were conducted with individuals occupying various roles in each authority, to gather feedback from a range of perspectives (totalling 49 interviews across the case studies). The interview findings fed into a comparative analysis process that explored the role of each organisational-level factor on inconsistencies in CIM scoring and enforcement action. Read the report on consistency in the delivery of official food safety controls: the role of organisational-level factors"	"Consistent regulation is essential to achieving optimal policy outcomes on a national scale, yet it is also notoriously difficult to achieve. Difficulty arises from the wide range of factors that may generate inconsistencies in controls: individual-level factors, such as the level of experience of individual inspectors; organisational-level factors, such as the structure and working habits of teams within enforcing authorities; or macro-level factors, such as institutions and broad societal factors. Moreover, inspectors and authorities need to adapt general rules to the variety of circumstances on the ground. Regulatory practice should not be uniform but rather reflect objective differences between different regulated individuals or businesses. As a consequence, however, it is not easy to draw a line between ‘normal’ variations (resulting from objective differences between regulatees on the ground) and ‘inconsistencies’. This particular research programme aimed to improve the evidence base on which the FSA’s efforts towards consistency could be built and revised. It is highly innovative, as very little analytical work of any significant scope has been published on consistency in regulation. It is therefore one of the first co-ordinated and multi-disciplinary attempts to better measure and explain consistency and inconsistency through the use of analytical methods. Read the introductory report on studying consistency: concepts and options"	"London School of Economics, Brook Lyndhurst and the Food Standards Agency"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS245028"	"A qualitative risk and benefit assessment for visual-only post-mortem meat inspection"	"http://www.food.gov.uk/science/research/choiceandstandardsresearch/meatcontrolsprojects/fs245028"	"2011"	"2012"	"This study aimed to assess the risks and benefits of visual inspection only during PMMI, in red meat (except pigs) and deer, where regulatory incision and palpation procedures are not carried out. The species investigated were red meat and large game i.e. cattle, sheep, goats, wild and farmed deer. Each relevant disease or condition were assessed according to the following categories: traditional or visual-only meat inspection; and whether or not they conformed to the criteria for controlled housing (as defined in the research report). Conditions and diseases which can only be detected by incision and palpation were identified and those relevant to public health, animal health and animal welfare were noted for further assessment. The identified hazards were qualitatively assessed for the risk they pose to public and animal health and welfare, under conforming and non-conforming production systems. The information was gathered from databases, including VLA VetNet, industry health schemes and Agency databases. Where these did not yield sufficient evidence, any differences in prevalence between conforming and non-conforming systems were qualitatively assessed. Any diseases or conditions which had a higher incidence in non-conforming systems were taken forward for a full risk-benefit assessment, to determine if the risk increased when using visual-only PMMI. A benefit analysis was carried out to examine the potential public health benefits that might be gained using visual-only inspection."	"The European Food Safety Authority (EFSA) is currently assessing post-mortem meat inspection (PMMI) tasks for a range of livestock species, in order to create a system of meat inspection which is relevant, effective and risk-based. The current PMMI procedures, which consist of visual examination, palpation and incision, have changed little in the last century. These techniques do not detect current foodborne hazards, such as salmonella and campylobacter, and may also give rise to the risk of cross -contamination."	"AHVLA"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS516002"	"Additional molecular diagnostic testing following a trial of visual-only inspection of fattening pigs from non-controlled housing conditions"	"http://www.food.gov.uk/science/research/choiceandstandardsresearch/meatcontrolsprojects/fs516002"	"2013"	"2014"	"The main objective of the study was to apply molecular diagnostic techniques to samples and isolates gathered during the field study to validate the culture results and obtain additional information about the pathogenic potential for humans of the isolates. To validate the results from the field study, PCR-based methods were used to test stored samples for DNA specific for salmonella and yersinia, rather than repeat the same culture-based tests which were completed on the original samples. This was done to re-determine the presence/absence of salmonella and yersinia using a different method of measurement (PCR as opposed to culture). The following approach was taken: identification of yersinia isolated in project FS145003 determination of the presence or absence of yersinia and salmonella DNA in frozen samples, archived from project FS145003, using PCR testing and analysis comparison of the molecular testing results with the traditional culture results from project FS145003"	"Traditional post mortem inspection includes palpation and incision, which can potentially increase the risk of contamination, while visual-only post mortem inspection reduces handling of the carcass. In previous work entitled ‘A trial of visual inspection of fattening pigs from non-controlled housing conditions’, the frequency and types of conditions that could be identified at slaughter by the two different meat inspection methods was investigated. This was to see if there was a difference between the two methods that might lead to a change in risk to human health/animal health/animal welfare, if the inspection method was changed for pigs reared outdoors. Traditional microbiological techniques isolated 12 yersinia species and no salmonella species. No statistical difference was found in the proportion of carcasses contaminated with Yersinia spp. The low numbers of bacteria found (ie the microbiological outcomes) were not unexpected, given that the abattoir had an extremely high level of hygiene. Low levels of total aerobic and coliform bacterial counts were also obtained. To check the findings of the study discussed above, this project was commissioned to carry out additional molecular testing on samples that had been stored from the original study. Polymerase chain reaction (PCR) tests were used to detect DNA from salmonella and Yersinia spp. Additional techniques were also used to find out more about the species of yersinia that had been found."	"SAC Commercial Ltd (SAC)"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS145002"	"An evaluation of Food Chain Information (FCI) and Collection and Communication of Inspection Results (CCIR) for all species"	"http://www.food.gov.uk/science/research/choiceandstandardsresearch/meatcontrolsprojects/fs145002"	"2012"	"2012"	"This project assessed the relevance of the content of FCI in relation to public health and animal health issues. It was complemented by an analysis of databases holding inspection findings. FCI was also reviewed through interviews with farmers, slaughterhouses, food business operators (FBOs) and OVs. Links between the information provided in the FCI and the health of live animals and carcass inspections were identified. Other information systems such as herd health plans and third party assurance schemes were also examined to find appropriate links which could be incorporated into the FCI. The information gathered was used to establish the effectiveness of both information exchange systems and the accuracy of the material provided. Methods in which these documents could be adjusted or changed, to record relevant and accurate information, were considered, to underpin an improved system of meat controls."	"Hygiene regulations specify the information requirements for the health of animals arriving from the farms to slaughterhouses. This record forms the FCI and is used by the slaughterhouse operator and official veterinarian (OV) to organise the slaughter procedures. The OV also uses the FCI to decide appropriate ante- and post-mortem inspection tasks. The CCIR records ante- and post-mortem inspection findings and returns these to the farmer. This informs the farmer and his private veterinarian of any pathological conditions to assist them in the management of the health and welfare of their livestock."	"Meat and Livestock Commercial Services Ltd"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"MC1005"	"Ante-mortem inspection by official auxiliaries rather than official veterinarians"	"http://www.food.gov.uk/science/research/choiceandstandardsresearch/meatcontrolsprojects/mc1005"	"2010"	"2010"	"Because of the sensitivity of possible changes in the ante-mortem inspection regime as a result of this research, all potential stakeholders will be identified, consulted and included during this study. A list of these will be drawn up to include government organisations, professional organisations, industry representatives and consumer groups. An extensive literature review will be carried out to identify published work on ante-mortem inspection. Outputs from other projects currently being carried out for the FSA will help produce an initial assessment of the conditions that an OV would detect during ante-mortem inspections. Stakeholder meetings will be held to discuss key issues raised. Results from these exercises will be analysed using a Structured What If Technique (SWIFT) to produce a risk summary that will give an overview of the potential risks when using OAs for ante-mortem inspections."	"(FS245012) EU legislation requires that an Official Veterinarian (OV) carries out ante-mortem inspection of all red meat animals before slaughter, unless a veterinary ante-mortem inspection has been carried out on the farm. In September 2008, a report was presented on optimising FSA Operations Group resources in meat slaughterhouses. From this, research has been proposed to assess any potential changes in risk to public health, animal health and welfare that could result from ante-mortem inspections being carried out by Official Auxiliaries (OAs) rather than by OVs for young and prime red meat animals and for poultry. This project will analyse the nature of conditions detected at ante-mortem inspection and the frequency of detection. Competencies needed to detect these conditions will be examined and the risks of modifying the current requirements, assessed."	"Det Norske Veritas"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"MC1002"	"Comparison of post-mortem inspection findings of outdoor and indoor fattening pigs"	"http://www.food.gov.uk/science/research/choiceandstandardsresearch/meatcontrolsprojects/mc1002"	"2010"	"2011"	"Conditions that are prevalent in outdoor pigs rather than indoor pigs, and which are likely to be missed by visual inspection but detected using traditional inspection methods were identified and termed as ‘critical conditions’. The prevalence of these particular conditions was assessed by analysing datasets from the FSA Operations Group, British Pig Health Scheme, Wholesome Pigs Scotland and Food Chain Information from abattoirs. To assess any increased human/animal exposure to critical conditions because of visual inspection of outdoor pigs, each condition was evaluated so as to discover the likelihood of not detecting them in outdoor pigs compared to indoor pigs. Individual risk estimates for each critical condition and each risk type (public health, animal health and welfare) were produced. The results showed where increased risk lies in removing palpation and incision from post-mortem inspection of outdoor pigs, and also established any possible benefits."	"(FS245009) EC Regulation 854/2004 allows for fattening pigs, housed under controlled conditions since weaning, to undergo only visual inspection, rather than the mandatory palpation of major organs and incisions in the heart and lymph nodes, which applies to outdoor pigs. This study tested the assumption that outdoor pigs require invasive inspection to guarantee adequate consumer protection levels. A qualitative veterinary risk assessment was used to evaluate the changes in human/animal risk due to transferring from traditional to visual inspection. Assuming that visual inspection of indoor pigs is an acceptable risk, a risk assessment was produced that estimated the increased risk, if any, posed by outdoor pigs compared with indoor pigs. Based on this assessment of the potential hazards to public health, animal health and welfare for visual inspection of outdoor pigs, it is possible to determine whether these hazards constitute an acceptable risk."	"Veterinary Laboratories Agency"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS245025"	"Feasibility study into the use of plant inspection assistants in approved game handling establishments"	"http://www.food.gov.uk/science/research/choiceandstandardsresearch/meatcontrolsprojects/fs245025"	"2012"	"2013"	"Plant inspection assistants (PIAs) A PIA inspection model will be developed by determining which public health risk factors,associated with wild game meat, are currently addressed during inspection. The criteria will be established by conducting a feasibility study in collaboration with meat hygiene control and animal health experts. A feasibility report into the potential transition of wild game meat hygiene controls from the current Official Veterinarian (OV) – Official Auxiliary (OA) regime to a PIA model will be put forward. This will inform the PIA inspection model guidelines. Based on this, experts will define the required competencies for proficient PIAs to operate within AGHEs, creating a detailed set of PIA competence criteria, including job description and role. The competencies and inspection model criteria will provide the framework for training materials for the PIA training programme. Both material and training programme will be assessed by training and examining PIAs. Trained hunters (THs) The effectiveness of the THs knowledge and competence in examining wild game and the use of declarations will be assessed. This will prove how well the current declaration system is working, together with the THs level of decision making and knowledge. The THs knowledge and competence will be assessed by inviting participants to partake in a short test and questionnaire covering their work and profession. Content and delivery of the THs professional development courses will be reviewed with the game industry. A comprehensive assessment of the completion and content of THDs will be carried out by surveying AGHEs and seeking their feedback on usage. This will include suggestions for improvements to allow effective controls by PIAs. Feedback from OVs engaged in wild game controls at AGHEs will also be collected. Together these findings will help inform recommendations on THD improvements. An analysis of the THs’ examination findings against inspection findings will be conducted. The study will compare the results of the TH examinations as indicated by results recorded on declarations, and match these with the carcass inspection findings detailed in records of post-mortem inspections reported by meat inspectors."	"The current system of EU official controls, in particular meat post-mortem inspection, is based on traditional inspection, developed a hundred years ago, which focussed on visible defects only. Today, the main foodborne pathogens are microbiological and cannot be seen by the naked eye. This research will explore the introduction of a risk and evidence-based approach to meat hygiene in the wild game industry, similar to the inspection model successfully implemented in the poultry sector. Content of the trained hunters' declarations (THDs) will be assessed. This will establish the effectiveness of the declaration to support the controls at the AGHE and suggest ways of improving it to allow more efficient controls by the plant inspection assistants."	"Scottish Food Quality Certification"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS517005"	"Improved food chain information and collection and communication of inspection results"	"http://www.food.gov.uk/science/research/choiceandstandardsresearch/meatcontrolsprojects/fs517005"	"2014"	"2014"	"This study focused on the provision of food chain information (FCI) to slaughterhouses and the collection and communication of inspection results (CCIR) to producers, their veterinarians and relevant officials. The project approach was to: Provide an overview of the current situation based on the findings of recent FSA research, identify areas for improvement and consider the main factors that need to be taken into account in developing new approaches. Develop new FCI/CCIR models to help improve the controls on meat inspection in controlling hazards to public health, animal health and animal welfare risks throughout the whole meat production chain. Carry out cost-benefit analyses for both primary producers and for slaughterhouses. There will also be an assessment of the public health benefits from improved information sharing between processors and primary producers.  "	"Food chain information (FCI) refers to the information on the health status of the animal consigned for slaughter and the holding of origin. Collection and communication of inspection results (CCIR) refers to information that is collected during ante and post mortem inspection by officials and sent back to farmers to improve animal health and welfare and ultimately food safety. FCI and CCIR form part of the whole chain, farm-to-fork approach to food safety introduced by hygiene regulations on 1 January 2006. In 2012, the FSA commissioned research to review the current implementation of FCI and CCIR. The research highlighted differences in the application of the food chain information flow between the sectors of poultry and pigs and the sectors of cattle and sheep. The research also made a series of recommendations, such as to carry out a risk assessment for each species to account for different production and marketing systems, and to highlight key information for recording rather than minimum elements. This project built on the outcomes of the research to provide the necessary evidence on what constitutes key FCI and CCIR that would support a more risk based and effective system for pigs, cattle, sheep and poultry."	"Food Control Consultants Ltd"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS514103"	"Microbial evaluation of poultry and pork mechanically separated meat (MSM), compared to fresh cuts of meat, meat preparations and minced meat products"	"http://www.food.gov.uk/science/research/choiceandstandardsresearch/meatcontrolsprojects/fs514103"	"2014"	"2016"	"The project will be carried out by food engineers, food microbiologists and microscopists with the involvement of poultry and pork processing companies. The following approach will be taken: Literature reviews will be undertaken of the microbiology of pork and poultry MSM, mince, meat preparations and fresh meat cuts as well as the modelling of microbial growth/survival. Identification of any differences in the presence of pathogens in different types of MSM, mince, meat preparations and fresh meat cuts will be established. Any differences in the ability of different types of MSM, mince, meat preparations and fresh meat cuts to support the growth of microorganisms will be identified. There will be an examination of the microbiological changes that occur during the processing (chilling, freezing and storage processes) of MSM, mince and meat preparations. The factors that control the microbiological quality and safety of the product, ie time, temperature, water activity and physical condition of the product during the production of MSM, mince and meat preparations will be examined. The project findings will be disseminated."	"European Union legislation (Regulation (EC) No. 853/2004) describes two types of MSM. Techniques that do not alter the structure of the bones produce a product known as 'Type 1 MSM', where the calcium content is not significantly higher than that of minced meat. All other processes produce a product known as 'Type 2 MSM'.  The overall purpose of this project is to provide data and scientific evidence to support the FSA’s assessment of whether current restrictions on the use of MSM from poultry and pork are appropriate and proportionate for the protection of public health.  This project will expand on work already carried out for the FSA and will involve microbial data collection to identify the types and abundance of microbes present in Types 1 and 2 MSM."	"University of Lincoln"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"MC1003"	"Outcomes and value of current ante and post-mortem meat inspection tasks including green offal inspection activities"	"http://www.food.gov.uk/science/research/choiceandstandardsresearch/meatcontrolsprojects/mc1003"	"2010"	"2011"	"An inventory of the most prevalent hazards related to meat production will be created, in consultation with experts and relevant organisations. A list of conditions associated with each hazard, suitable for identification at the slaughterhouse, will be drawn up and linked to inspection tasks. The frequency of inspection tasks identifying a specific hazard will be estimated. The results will be discussed by a workshop including a group of international partners and the results will be summarised in a report. A framework or assessment tool will be developed to assess the effectiveness of inspection practices with regard to hazards from the inventory (created earlier) and the suitability of each task will be evaluated using a qualitative scoring system. Outcomes of the analyses will be reviewed. The final report will include recommendations on addressing possible concerns arising from the findings of this study."	"(FS245010) The safety of meat for human consumption relies to a great extent on strict hygiene procedures and efficient ante and post-mortem inspections in slaughterhouses. This study will examine (across all species) inspection tasks as listed in EC Reg. 854/2004 and assess their value. The outcomes and effectiveness in delivering each inspection task will be assessed and whether the same outcomes could be achieved at other stages, which will prevent duplication. Any relevant conditions and pathogens which are undetected by current inspection tasks will also be identified. Risk assessment of green offal inspection tasks will be incorporated into this study. Relevant conditions found as a result of green offal inspection will be identified and scenarios developed to assess any changes to the risk following modification or removal of this inspection requirement."	"Royal Veterinary College"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS517002"	"Potential use of farm of origin information for more targeted inspection of Cysticercus bovis"	"http://www.food.gov.uk/science/research/choiceandstandardsresearch/meatcontrolsprojects/fs517002"	"2014"	"2015"	"To achieve the aim of compiling and summarizing relevant evidence that could eventually result in more targeted meat inspection activities for Cysticercus bovis, the following steps were  carried out: Existing published evidence was  identified, appraised and summarised. This  included published scientific literature and grey literature. Existing data on disease presentation in UK farms was  explored. This was  based on post mortem meat inspection and information provided on the agricultural census. Information on farm level risk factors from case and control farms, by means of a postal questionnaire and elicit expert opinion, was  gathered. All of these sources of information were  used to establish farm categories with different risk profiles with respect to Cyscticercus bovis infection."	"Bovine cysticercosis is caused by the larval stage of the human tapeworm Taenia saginata. Cattle become infected through the accidental ingestion of food or water which has been contaminated with human faeces. After 8-10 weeks the larvae will establish in the muscles and develop into cysts. The presence of Taenia sanginata cysts in cattle is determined during post mortem meat inspection and enforced through Regulation (EC) No 854/2004. Carcasses with visible cysts are either downgraded or condemned depending on the amount and type of visible cysts. In Britain, positive cases detected during post mortem inspection are recorded in the FSA national meat inspection database, but without additional information on animal or farm characteristics. Farm characteristics, such as water source, type of production and geographic location are likely to influence the likelihood of Cysticercus bovis infection. Farm characteristics could, therefore, be used to classify farms according to their ‘a priory’ risk of the animals raised in them having cysticercosis; and this classification could be the basis for different, more targeted, types of inspection."	"The Royal Veterinary College"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"MC1004"	"Poultry post mortem inspection by plant inspection assistants without the permanent presence of official veterinarians"	"http://www.food.gov.uk/science/research/choiceandstandardsresearch/meatcontrolsprojects/mc1004"	"2010"	"2010"	"A number of poultry slaughterhouse reviews will be undertaken. The reviews will gather information on duties performed by PIAs, their interaction with the OV and performance checks carried out by the OV on PIAs. Information on the potential risks to public health and animal health and welfare and how these are affected by PIAs and OVs will also be recorded. Outputs from this exercise will be examined using a Structured What If Technique (SWIFT), a qualitative assessment tool, which will identify the potential risks to public health and animal health and welfare. Controls for each of the risks, their significance and the impact of PIAs and OVs on those risks will be identified and analysed. A risk summary will be developed to enable the effect of alternative OV supervision strategies to be assessed."	"(FS245011) Official controls in poultry premises are carried out by Official Veterinarians (OVs), assisted by official inspectors (known as Poultry Meat Inspectors – PMIs), and trained members of staff, known as Plant Inspection Assistants (PIAs). PIAs are subject to 100% supervision by an OV, while carrying out post-mortem inspection tasks. This research will examine the risk of amending the requirement for 100% OV presence during post-mortem inspection of poultry, when PIAs are carrying out post-mortem inspection."	"Det Norske Veritas"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS517004"	"Relationship between seroprevalence in the main livestock species and presence of Toxoplasma gondii in meat"	"http://www.food.gov.uk/science/research/choiceandstandardsresearch/meatcontrolsprojects/fs517004"	"2014"	"2015"	"The overall goal of the project is to obtain information and knowledge on the presence and infectivity of T. gondii cysts in meat and other edible tissues in main meat-producing animals and its relationship with T. gondii seroprevalence in animals. Evidence will be collected through a literature search, epidemiologic and experimental studies. An extensive literature search is organised on 4 research topics: relationship between seroprevalence and cysts presence and infectivity in meat performance of available test for detection anatomical distribution of cysts in meat on-farm risk factors for T.gondii infection attributable to pigs, bovines, small ruminants, poultry and horses The outcome of the literature review will inform the design and methods of future studies in the project. The research includes: epidemiological studies in farms and slaughterhouses experimental studies such as bioassays, comparison in the detection methods and investigation on potential anatomical distribution of cysts in meat"	"EFSA has published a series of opinions on meat inspection during the past three years. The EFSA experts have identified Toxoplasma as one of pathogens to be considered by future meat controls. However, insufficient data were identified, preventing a robust assessment and follow up risk management decisions. In the UK, the Advisory Committee on Microbiological Safety of Food (ACMSF) advised FSA that further studies are needed in a report published in 2012. http://food.gov.uk/news-updates/news/2012/sep/toxoplasma The FSA is taking part in consortium of seven European countries and twelve organisations working for an EFSA research project   http://www.efsa.europa.eu/en/art36grants/article36/gpefsabiohaz201301.htm  to collect, study and analyse evidence on: the relationship between seroprevalence in the main livestock species and presence and infectivity of T. gondii cysts in their meat and other edible tissues risk factors for T. gondii infection in the main livestock species the available methods for detecting the presence and infectivity of T. gondii cysts, including their sensitivity and specificity the anatomical distribution of the cysts in meat and other edible tissues, to inform the optimal sampling choice(s) for slaughtered animals for optimisation of detection."	"Royal Veterinary College UK"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"MC1001"	"Review of historic ante-mortem and post-mortem inspection data"	"http://www.food.gov.uk/science/research/choiceandstandardsresearch/meatcontrolsprojects/mc1001"	"2010"	"2010"	"An appraisal of historical inspection data collection procedures, recording forms and documentation were carried out and a listing by species of diseases and conditions to record (i.e. defining current data needs) was produced. Historical inspection data was evaluated to obtain a listing by species, of diseases and conditions being recorded, data quality issues and variation (i.e. defining current data provided). The range of data was over three years (2007-2009). Current data needs were compared with the current data to identify gaps and provide recommendations on these how gaps might be filled. Findings were communicated via a final project report and poster summary. The project findings will also be presented in a peer reviewed paper relating to veterinary surveillance strategies."	"(FS245001) Current ante-mortem and post-mortem inspection procedures carried out by the FSA Operations Group (MHS) enable the identification of diseases of public or animal health significance and the monitoring of animal welfare. Inspections focus on detecting infections associated with visible or palpable lesions and legislation and inspection procedures enable animals and carcases unfit for human consumption to be excluded from the food chain. Inspection records on specific diseases and non-specific conditions and analysis of this inspection data (both current and historic) may have potential use in the monitoring of diseases and conditions. In addition, possible issues of quality or gaps within the collected data and recording procedures can be identified to improve the epidemiological surveillance of relevant public health, animal health and welfare conditions"	"Veterinary Laboratories Agency, Centre for Epidemiology and Risk Analysis (CERA)"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS145004"	"Slaughterhouse social science project"	"http://www.food.gov.uk/science/research/choiceandstandardsresearch/meatcontrolsprojects/fs145004"	"2012"	"2012"	"The project aimed to deliver a better understanding of: the drivers and barriers that help or hinder food business organisations taking full responsibility for food safety (in the context of building a greater holistic understanding of food business organisations food safety behaviours) the drivers and barriers that help or hinder veterinarians and meat hygiene inspectors to undertake effective enforcement action (in the context of building a greater holistic understanding of enforcers’ behaviours) This evaluation included: a scoping stage to identify existing evidence. key informant interviews to help inform subsequent stages of the research. case studies, consisting of two-day visits when researchers will conduct a range of interviews and observation within 24 slaughterhouses. The findings of this study will inform proposals for changes to the official controls in slaughterhouses and help to ensure that proposed changes to the current system are based on a knowledge of the ‘on the ground’ situation."	"Official controls have developed over many decades. These were originally designed to manage hazards that were characterised by pathological changes, largely detectable by visual inspection. It is important that the Agency ensures that official controls are risk based, proportionate, targeted and cost effective. This project aimed to improve and deepen our understanding of those involved in the delivery of official controls in the slaughterhouse environment."	"Ipsos MORI"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS145003"	"Trial of visual inspection of fattening pigs from non-controlled housing conditions"	"http://www.food.gov.uk/science/research/choiceandstandardsresearch/meatcontrolsprojects/fs145003"	"2011"	"2013"	"The pilot study examined 'outdoor pigs' which had been reared in non-controlled housing conditions at least since weaning. It aimed to establish the frequency and type of findings that could be expected when using visual-only inspection versus traditional inspection methods. The effects on contamination levels, as a result of the handling of carcasses, were also investigated. The trial was designed so that all carcases were inspected or re-inspected according to current regulatory requirements, so they could be put on the market without risk. Microbiological sampling for enterobacteriaceae, salmonella and yersinia were applied to identify differences in the risk of using traditional inspection methods for carcasses, compared to visual-only inspection. The findings were used to identify any issues which may prevent the implementation of a risk based visual-only inspection system. Appropriate adaptations to overcome these problems, such as different dressing procedures or food chain information (FCI) requirements, were considered. A qualitative risk assessment, on the impact of the implementation of visual-only inspection for outdoor pigs and its consequence on public health, animal health and welfare, was drawn up."	"A previous study funded by the Agency compared post mortem inspection (PMI) findings of ‘outdoor’ and ‘indoor’ fattening pigs, using a qualitative risk assessment approach (see project MC1002: Comparison of post-mortem inspection findings of outdoor and indoor fattening pigs: a qualitative risk assessment approach ). The results suggested that moving to visual-only post mortem inspection for 'outdoor pigs' would not pose an increased risk to public health, animal health and welfare. Traditional PMI includes palpation and incision which can potentially increase the risk of contamination, while visual-only PMI reduces handling of the carcass. This study focused on whether visual PMI of 'outdoor pigs' presents a significant risk above that accepted for 'indoor pigs' based on the current provisions in the regulations."	"Scottish Agricultural College"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS616002"	"Research with consumers and staff delivering official controls"	"http://www.food.gov.uk/science/research/choiceandstandardsresearch/fs616002"	"2012"	"2013"	"The research with local authority staff was conducted via an online forum, which was open for discussions across three waves, and sought to: explore how local authority staff see the role of the FSA and local authorities in delivering official controls, and how the FSA should work with local authorities when issues arise understand their views and concerns about the current system and priorities for the delivery of official controls provide practical, current professional knowledge and expertise to inform decision making and assist in developing workable options to improve the delivery of official controls measure reactions to potential changes to provide an understanding of the practical implications of change, including any barriers to change explore whether the outputs of the review are seen as a positive direction for official controls delivery inform discussions at the consumer forum sessions The consumer research was conducted across three waves via six online forums in different UK locations , and sought to: explore how consumers see the role of the FSA and local authorities in delivery of official controls, and how the FSA should work with local authorities when issues arise understand the expectations, needs and interest of consumers in relation to official control delivery and food business compliance explore views and concerns about the current system and understand consumer priorities for the delivery of official controls measure reactions to potential changes to provide an understanding of the impact on consumers in terms of their trust in the system, consumer behaviour, and industry and regulator practice"	"The FSA is reviewing how local authorities and port health authorities carry out activities to monitor and secure business compliance with food and feed law. These activities are collectively known as ‘official controls’. Official controls for food and feed are currently delivered through a variety of means and these delivery responsibilities vary across the four countries of the UK. The FSA needs to be assured that the delivery structure for these controls throughout the UK is appropriate and that competent authorities (CAs) are effectively identifying and addressing food business operator non-compliance in a manner that is proportionate to risk and in accordance with defined standards of delivery. The review will evaluate how the effectiveness of the current delivery model. The outcomes will be used to consider the scope for making improvements. Further information on the review can be found on: OCR Review ."	"TNS BMRB"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
