"project__PROJECT_NUMBER"	"project__PROJECT_TITLE"	"project__source_url"	"project__PROJECT_START_DATE"	"project__PROJECT_END_DATE"	"project__PROJECT_MORE_INFO"	"project__PROJECT_OBJECTIVE"	"institution_data__INSTITUTION_NAME"	"investigator_data__name"	"institution_index__inst_id"	"investigator_index__inv_id"	"agency_index__aid"	"comment"
"SF6053"	"Antimicrobial photodynamic treatment for surface sanitation"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6053.htm"	""	""	"Development of new surface sanitation techniques for use in the agri-food industry. "	"Screening of available photosensitisers (PS) for their bacteriocidal effect against different types of food-related microorganisms: bacteria (both in planktonic form and biofilms), moulds, fungi, viruses. Selection of most effective PS for APDT for bacteria and viruses. Investigation of the mechanism of bacterial effect of APDT against bacterial biofilms, spores and viruses. Exploring possibility of incorporation of PS into surfaces and testing the “self-decontaminating” properties of the modified surfaces under incidental light illumination. Development and testing of experimental protocols for the most efficient photodynamic sanitation of surfaces."	"University of Guelph"	"Griffiths, Mansel"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6053.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6054"	"Quantification of pathogenic viruses in RTE foods"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6054.htm"	""	""	"Development of a real-time PCR methodology for detection and quantification of pathogenic viruses in RTE foods, wherein the main focus will not only be development of a multiplex quantitative real-time PCR assay but especially the development of a sample treatment method capable of concentrating very low amounts of virus from the food sample."	"To develop a multiplex PCR assay for the detection of HAV and NV. To extend existing IMS method for concentration of HAV to include NV. To develop a filtration sample treatment. To investigate EcoVu technology for concentrating HAV and NV. To compare and/or combine the sample treatment methods and develop an optimized assay. To apply the optimized method for quantification in spiked and, if possible, naturally contaminated samples."	"University of Guelph"	"Griffiths, Mansel"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6054.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6047"	"Concentration and detection of pathogens in bean sprout spent irrigation water using microfiltration coupled with electrochemical immuno-sensors"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6047.htm"	""	""	"To provide a technology that can both concentrate and detect contamination (if present) within large volumes (10 litres) of spent irrigation water in a semi- or fully automated rapid (4 h) process.  This will facilitate on-site testing enabling the sprout producer to screen irrigation water later into the sprouting process when pathogen levels (if present) will be high."	"Optimize E. coli 0157:H7 and Salmonella recovery using tangential flow membranes. Construct and optimize electrochemical immuno-sensor flow cell. Assess the impact of matrix affects on pathogen recovery and detection. Validate the integrated system to detect pathogens introduced into spent irrigation water and sprouting mung bean beds. Assess the performance by introducing target pathogens in spent irrigation water derived from commercial sprout operations."	"University of Guelph"	"Warriner, Keith"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6047.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6054"	"Quantification of pathogenic viruses in RTE foods"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6054.htm"	""	""	"Development of a real-time PCR methodology for detection and quantification of pathogenic viruses in RTE foods, wherein the main focus will not only be development of a multiplex quantitative real-time PCR assay but especially the development of a sample treatment method capable of concentrating very low amounts of virus from the food sample."	"To develop a multiplex PCR assay for the detection of HAV and NV. To extend existing IMS method for concentration of HAV to include NV. To develop a filtration sample treatment. To investigate EcoVu technology for concentrating HAV and NV. To compare and/or combine the sample treatment methods and develop an optimized assay. To apply the optimized method for quantification in spiked and, if possible, naturally contaminated samples."	"University of Guelph"	"Griffiths, Mansel"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6054.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6037"	"A Novel Evidence-Based Tool in Support of Food Safety Policy Development"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2004/sf6037.htm"	""	""	"A novel evidence-based tool will be developed and evaluated as a potential standard tool in support of food safety policy development in Ontario. If adopted, this approach will significantly contribute to evidence-based food safety policy making in Ontario. Ontario's policy makers and agri-food sector are provided with evidence-based information associated with the Salmonella issue in swine. This will allow them to better consider potential options associated with this important food safety and potential trade issue. The availability of this information would enhance consumer confidence in food safety policy making in Ontario."	"Develop an evidence-based list of potential on-farm interventions against Salmonella in swine, and their estimated impacts on Salmonella reduction, using a rigorous and transparent systematic review protocol. Develop a quantitative risk assessment to refine and select optimal interventions, to evaluate risks throughout the pork chain and to select optimal mitigation strategies against Salmonella within the environment of the Ontario pork production system. Evaluate the needs, gaps and opportunities for using these methodologies, individually and in combination, as potential standard tool in support of food safety policy making in Ontario. Provide transparent recommendations to Ontario's pork policy makers to make an informed policy decision regarding potential intervention strategies against Salmonella in pork. Identify future needs for intervention research."	"University of Guelph"	"McEwen, Scott"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2004/sf6037.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6038"	"Prevalence and Enumeration of Foodborne Microbial Hazards in Retail Raw Meat Products in an Ontario Community"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2004/sf6038.htm"	""	""	"Provide Ontario-specific baseline prevalence and enumeration data for enteric pathogen contamination of raw meat products, in order to provide relevant data that can be used in risk assessment. This study will become a component of a larger surveillance program, C-EnterNet, which offers a unique and original contribution to the food safety system in Ontario. C-EnterNet will integrate human, agri-food and water data, through enhanced typing procedures, to provide a comprehensive understanding of the link between foodborne pathogens and human health outcomes in Ontario. Contribute to the reduction in human enteric illness in Ontario and lower the impact on Ontario's health care system and economy, while increasing consumer confidence in Ontario's food supply."	"Integrate with the PHAC/AAFC 5-year pilot study investigating enteric pathogen levels in food, water and human health data in the Regional Municipality of Waterloo, ON. Develop Ontario baseline prevalence & enumeration data for foodborne enteric contamination ( Campylobacter jejuni & coli , Salmonella spp., generic E. coli , Listeria monocytogenes , VTEC and Yersinia enterocolitica ) on retail raw meat (chicken, pork and beef). Inform and support Ontario-specific risk assessment and policy development (through baseline data reports)."	"Public Health Agency of Canada"	"Pollari, Frank"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2004/sf6038.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6039"	"Improvement and Validation of a Novel Protein Microarray Assay for Salmonella Serotyping"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2004/sf6039.htm"	""	""	"Improve and validate the system to make it operational by diagnostic labs. Assay conditions will be further optimized to enhance data quality and assay robustness. A customized software program will be created to facilitate data analysis, interpretation and reporting. A rapid, simple, accurate and cost-effective protein chip based-test and associated software that can be used for Salmonella serotyping by diagnostic labs. The availability of such a test will allow diagnostic labs to provide faster and cost-effective results to food industries and provide an avenue to enhance the safety of Ontario's food supplies."	"To improve an existing protein microarray method for enhanced assay robustness and data quality for rapid, simple, accurate and cost-effective serotyping of 20 commonly isolated and clinically important Salmonella serovars. To develop a computational method and create a customized software program to standardize and streamline data analysis, interpretation and reporting for the serotyping assay. To validate the method under applied conditions for its future implementation in diagnostic laboratories."	"University of Guelph"	"Chen, Shu"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2004/sf6039.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6040"	"Bacteriophage Therapy to Control E. coli 157:H7 in Cattle"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2004/sf6040.htm"	""	""	"To provide information required for field trials and eventual licensing of this technology for field use. Success in the project will benefit the food safety system in Ontario and the agri-food sector in general, through safer food products, especially beef products, reduced contamination of the environment, water and other foods with E. coli O157:H7, reduced risk of human exposure to E. coli O157:H7, enhanced market competitiveness in beef products domestically and internationally, and greater sustainability of the beef and dairy cattle industries."	"To determine if the three selected E. coli O157:H7 phages have any adverse effects on non-target animal species that share the cattle environment, using mice and chickens as models. To evaluate the ability of optimized oral dosages of a mixture of three selected E. coli O157:H7 phages to eliminate multiple strains of E. coli O157:H7 in experimentally infected calves, infected by a new more reproducible technique that favors colonization at recto-anal junction, the preferred site in the bovine intestine. To determine the efficacy of a mixture of three orally administered, pharmaceutically formulated E. coli O157:H7 phages in control and elimination of E. coli O157:H7 from naturally infected beef cattle."	"Public Health Agency of Canada"	"Johnson, Roger"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2004/sf6040.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6041"	"Rapid Ultra-Concentration Technologies for Isolation of Pathogen DNA and RNA Markers from Foodstuffs for On-Line Detection and Screening"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2004/sf6041.htm"	""	""	"On-line cell capture, ultrasonic disruption and microfluidic methods will be developed for rapid isolation and ultra-concentration of marker nucleic acids from food washes and surface wipes, which will permit automated analysis for critical pathogens using our new nucleic acid biosensor technologies. By developing this missing link in the overall diagnostic method, rapid quantitative testing for multiple targets including bacteria, viruses and parasites at each link in the food supply chain may be realized. The technology will provide for inexpensive (per test) reliable screening that can be used in abattoirs, food processing plants and in-field, as identified as goals of the HACCP program."	"To develop sampling (automated); to collect and pre-concentrate cells from food washes and wipes, and from water samples, reducing the problem of analyzing for a limited number of cells that are distributed through a large volume to a problem where cells exist in high concentration on a surface. To develop sample preparation (automated); to efficiently extract and concentrate nucleic acid markers of interest from cells, improving the relative concentration of markers and reducing volume to levels that can be manipulated by microfluidic systems. The extracts will be delivered to a sensitive nucleic acid pathogen detection system that will permit screening and quantitative analysis. To develop an integrated sampling and sample preparation system that will be examined for applications in the food industry through partnerships that are developed with SafeGuard Biosystems."	"University of Toronto at Mississauga"	"Krull, Ulrich J."	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2004/sf6041.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6042"	"UV and Hydrogen Peroxide Combination for Decontaminating Minimally Processed Fruits and Vegetables"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2004/sf6042.htm"	""	""	"This project will provide a viable, cost effective, alternative to current produce decontamination methods. If successful, the UV/ H 2 O 2 based decontamination system will significantly enhance the safety of minimally processed fruit and vegetables. The method will also find utility in other sectors especially in relation to meat processing where virulent pathogens such as E. coli 0157 are an obvious concern."	"Construct a treatment chamber to generate high intensity hydroxy radicals via the action of UV light on H 2 O 2 . Determine inactivation kinetics of model human pathogens, spoilage bacteria and bacteriophage deposited on agar plates or planner surfaces. Establish the mode by which model bacterial are inactivated by UV/ H 2 O 2 . Determine the inactivation kinetics of model bacteria and MS2 bacteriophage introduced on and within a range of vegetable/fruit types. Evaluate the potential for post-treatment recovery of bacteria on fresh produce during storage. Determine changes in product quality (if any) during post-treatment storage compared to produce washed in sodium hypochlorite."	"University of Guelph"	"Warriner, Keith"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2004/sf6042.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6043"	"Reagentless Impedimetric Biosensors for Detection of Pathogens in Greenhouse Operations and Pork Processing"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2004/sf6043.htm"	""	""	"Reagentless sensors for the detection of F + coliphage (indicator of generic E. coli ) and Salmonella will be developed. The kinetics, sensitivity and selectivity of the sensors will be determined."	"Fabricate polycarbonate conducting polymer nano-tube electrodes containing immobilized host cell or antibodies. Identify changes in impedance spectra of modified electrodes originating from the interaction of F (+) coliphage with immobilized host cell. Optimize bacteriophage detection assay and evaluate sensor performance in relation to standard methods. Optimize and validate impedimetric Salmonella immuno-sensor. Verify sensor performance from samples taken from greenhouse and pork processing facilities."	"University of Guelph"	"Warriner, Keith"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2004/sf6043.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6044"	"Control of Salmonella and Other Pathogens of Public Health Concern on Ontario Pig Farms"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2004/sf6044.htm"	""	""	"To develop the monitoring tools and practical intervention strategies to assist Ontario pig farmers to meet food safety standards of the future."	"To evaluate whether water acidification is an effective method of reducing the prevalence of Salmonella in the feces of market hogs and whether the shedding of Yersinia enterocolitica can be reduced or eliminated using good hygienic techniques. To gain insight into the prevalence and spread of the pathogens on endemically infected farms. To develop and evaluate an ELISA test for the detection of Salmonella antibodies."	"University of Guelph"	"Friendship, Robert"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2004/sf6044.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6045"	"Mycobacterium Avium Subsp. Paratuberculosis: Novel Tools to Identify Risk for Contamination of Foods and Environments"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2004/sf6045.htm"	""	""	"To evaluate the protocols for their potential in improved tracking of MAP contamination. We want to identify the conditions that maximize recovery, minimize assay contamination and minimize time-to-detection of the live bacterium."	"Test the efficacy to isolate MAP of a monoclonal antibody-based immunomagnetic bead (mAb-IMB) complex. Compare this method to centrifugation using a range of fecal and MAP spiked milk and meat samples. Determine optimal sample preparation for MAP recovery by mAb-IMB. Determine the conditions for using the Ab-IMB to recover MAP by the Pathatrix technology. Pathatrix has the advantage of simultaneous screening, using IMB, four separate large sample volumes. We have developed a protocol to purify MAP mRNA, amplify cDNA and identify MAP-specific genes. Here we want to investigate the potential for combining mAB-IMB capture with the mRNA assay to detect only the live (replicating and non-replicating) MAP. We have identified broth media components that enhance growth from low inocula and heat stressed MAP. Using fecal isolated, decontaminated and heat stressed MAP, spike at low inoculum our broth formulation, MIGT and BACTEC broths and HEYA compare time-to-detection of viable MAP. Apply assay for screening bulk tank and retail milk in Ontario."	"University of Guelph"	"Mutharia, Lucy"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2004/sf6045.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6046"	"Reduction of Campylobacter Jejuni Colonization in Poultry"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2004/sf6046.htm"	""	""	"To develop a cost-effective high efficiency animal feed supplement that will also improve Ontario food safety by reducing the levels of C. jejuni colonization in poultry."	"To identify poultry mucin properties beneficial for C. jejuni colonization and persistence through viscosity measurements and carbohydrates profiling studies (which will also provide a comparison with on-going complementary human mucin studies, to further explore mucin factors responsible for the differences observed in C. jejuni pathogenesis during colonization of poultry and humans). To assess the ability of the NRC-IBS modified xylanase to reduce C. jejuni colonization of poultry compared to the commercial xylanase which are both derived from Trichoderma. To understand the affects that mucin and xylanase treatment have on C. jejuni virulence and cell surface carbohydrates."	"National Research Council"	"Szymanski, Christine"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2004/sf6046.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6027"	"Rapid Phage-Based Method for the Detection of Pathogens in Food"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2003/sf6027.htm"	""	""	"The test developed from this project will enable processors and regulatory agencies to quickly establish whether a specific pathogen is present in food and provide an estimate of the level of contamination."	"To develop and evaluate a bacteriophage-based capture and detection system for food-borne pathogens in food and environmental samples."	"University of Guelph"	"Griffiths, Mansel"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2003/sf6027.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6028"	"Elimination of Human Pathogens on Seeds Destined for Sprout Production by Using a Novel Sanitizer"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2003/sf6028.htm"	""	""	"This work will provide a basis for Ontario to establish the safest sprout production in the world and boost the domestic/export markets for such nutritious products."	"To evaluate the efficacy of SDH to inactivate a range of model pathogens ( E. coli 0157; Salmonella and Listeria monocytogenes ) inoculated on different seed types. To determine the mode of action and potential of SDH resistant subpopulations emerging from treated human pathogens. To determine the efficacy of SDH to decontaminate naturally contaminated and damaged seed."	"University of Guelph"	"Warriner, Keith"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2003/sf6028.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6029"	"Establishment of Critical Control Points for Enteric Pathogens in Beef Production"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2003/sf6029.htm"	""	""	"The results of the work will establish the critical control points in two diverse plants and provide background data on the need to apply mandatory HACCP. In addition, by understanding the dynamics of enteric contamination within slaughter lines more representative standardized sampling regimes can be formulated."	"By using a combination of molecular typing and indicator counts establish critical control points for enteric pathogen contamination from farm to post-chilling and grinding. To correlate the mud score of steers and the significance of aeromicrobiology in determining the microbiological quality of carcasses at post-chilling. Provide recommendations on the adequacy of current sampling schemes performed within Ontario."	"University of Guelph"	"Warriner, Keith"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2003/sf6029.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6030"	"Rapid Whole-Organism Identification Methods Based on Fourier Transform Infrared (FTIR) Spectroscopy"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2003/sf6030.htm"	""	""	"The benefits of this FTIR methodology would include more rapid analyses, the elimination of the need for reagents, a decrease in the cost of analysis per sample by an order of magnitude, and amenability to automation."	"To establish a comprehensive database comprising the spectra of microorganisms of food safety concern. To develop an expert system encompassing appropriate data analysis algorithms for automated identification of unknowns. To develop a sampling methodology for high-throughput screening, entailing the imprinting of bacteria grown on a hydrophobic grid membrane filter (HGMF) onto an IR-transparent optical window. To evaluate and refinement of the FTIR method by testing in multiple laboratories. Extensive validation to provide data required in order for the FTIR methodology to gain acceptance as a reliable alternative to well-established techniques of food microbiological analysis."	"McGill University"	"Ismail, A.A."	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2003/sf6030.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6032"	"Antibiotic Replacement Therapy for Control of Food-Borne Pathogens in Poultry"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2003/sf6032.htm"	""	""	"Findings of this study will facilitate the establishment and maintenance of a safe food chain by reducing food-borne pathogen burden and shedding in poultry. In addition, other benefits such as reduction in the use of antibiotics and its ensuing effects on emergence of antibiotic-resistant strains of bacteria and presence of antibiotic residues in human food, could be perceived."	"To compare probiotics/prebiotics combinations for control of Salmonella burden in poultry. To determine microbial changes in the gut microflora following probiotics/ prebiotics treatment. To assess the effects of probiotic/prebiotic products on the immune system, systemically and at the gut level. To recommend adoption of products to reduce Salmonella colonization."	"University of Guelph"	"Sharif, Shayan"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2003/sf6032.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6033"	"Development of a Robust DNA Preparation Method to Enhance Simultaneous Detection of Multiple Pathogens in Foods by a Microarray-Based Assay"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2003/sf6033.htm"	""	""	"A robust DNA extraction and enrichment method for food samples, including poultry, red meat, milk and vegetables, which can be used as a front end for PCR/microarray-based assays."	"To integrate disparate techniques into a simple and unified DNA isolation method for handling multiple pathogens of various differences in various food matrices. To develop an effective DNA enrichment method based on the new multiple displacement amplification (MDA) technology to make compensation for low concentrations of slow-growing pathogens or pathogens that can not be enriched in food samples. To determine the feasibility of using the MDA technology directly with our existing microarray without PCR for food testing."	"University of Guelph"	"Chen, Shu"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2003/sf6033.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6034"	"Fluorescence Polarization Immunoassays (FPIA) for Food Safety: A Rapid Detection System for Pathogens and Chemicals"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2003/sf6034.htm"	""	""	"To develop and validate a proven antibody-based technology, Fluorescence Polarization Immunoassay (FPIA), to the area of rapid food and water safety diagnostics."	"To expand the utility of food/water-borne pathogen/chemical-specific antibodies for rapid, accurate and simple use in both laboratory and field settings by formatting them as fluorescence polarization immunoassays (FPIAs)."	"University of Guelph"	"Hall, J. Christopher"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2003/sf6034.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6035"	"Enhancing the Food Safety of Honey Bee Hive Products Through the Use of Organic Beekeeping Practices and Effective Monitoring of Pests and Diseases"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2003/sf6035.htm"	""	""	"The results of this project will include organic management strategies and disease monitoring methods for bee industry. An availability of disease monitoring information and management strategies will direct the Ontario beekeepers to work towards a decreased dependency on chemicals, which will result in safer food products and cleaner environment and at the same time, thus increasing the marketability of Ontario hive products"	"To operate and maintain honey bee colonies without the use of antibiotics or pesticides. To compare various methods of monitoring parasitic mite levels and to determine practical and effective techniques. To determine effective methods and timing of controls for mites and diseases using organic management. To develop recommendations for organic beekeeping practices and to transfer these to the beekeepers of Ontario."	"Ontario Beekeeper's Assoc."	"Skinner, Alison"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2003/sf6035.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6036"	"Evaluation of the Ability of a Seaweed Extract (Tasco-14) to Reduce the Duration and Intensity of Fecal Shedding of Escherichia coli 0157:H7 and Total E. coli by Cattle"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2003/sf6036.htm"	""	""	"Proactive approaches to controlling E. coli O157:H7 in beef cattle would contribute significantly toward minimizing the risk presently posed by this pathogen to the Canadian food supply. A dietary intervention strategy, such as incorporating Tasco-14 into diets for cattle two weeks prior to slaughter, would be an economically feasible method for controlling E. coli O157:H7."	"To evaluate the ability of Tasco-14 to reduce fecal shedding in cattle challenged with E. coli 0157:H7."	"Lethbridge"	"McAllister, Tim"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2003/sf6036.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6014"	"New Technologies for Improving Real-Time PCR Methods for Detection of Food-borne Pathogens"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2002/sf6014.htm"	""	""	"Development of methods for the detection and enumeration of bacterial pathogens and indicator organisms that have sufficient sensitivity, specificity and speed to meet the requirements of the food industry, and the expectations of regulatory agencies."	"To develop real-time PCR systems that can detect, differentiate and, where appropriate, enumerate Listeria spp., Salmonella spp., Campylobacter jejuni , E. coli 0157:H7 and total E. coli in a variety of samples."	"University of Guelph"	"Griffiths, Mansel"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2002/sf6014.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6015"	"Validation of a Method for Determining the Species of Origin of Contaminant E. coli"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2002/sf6015.htm"	""	""	"To enable the source of contamination (human, livestock, wildlife) of water or foods to be rapidly identified, thereby permitting corrective measures to be taken very quickly."	"To develop a procedure for rapidly determining the animal or human source of E. coli recovered as a contaminant from environmental samples, with special emphasis on water."	"University of Guelph"	"Gyles, Carlton"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2002/sf6015.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6016"	"Evaluation of Immunoassay Based Kits with High Sensitivity and Specificity for Rapid Detection of E. coli O157:H7 in Foods"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2002/sf6016.htm"	""	""	"The ability of assays to specifically detect E. coli 0157:H7 within 24 hours of testing would provide a rapid turn around time for reporting test results as well as reducing the occurrence of false positives and misidentification, while maintaining a high sensitivity of detection."	"To evaluate the Immunocard STAT! E. coli 0157:H7 detection kit (Meridian Diagnostics) for the detection of E. coli 0157:H7 from various food products including: raw ground beef, milk, cider, alfalfa sprouts and cheese. To establish a protocol for the screening of E. coli 0157:H7 using the above detection kit by investigating the use of Immunomagnetic separation technology and commercial selective agars for the rapid isolation of E. coli 0157:H7 from low level contaminated samples."	"University of Guelph"	"Odumeru, Joseph"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2002/sf6016.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6017"	"Liquid Feeding of Swine"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2002/sf6017.htm"	""	""	"The generated information will allow for a more accurate and objective assessment of positive and negative impacts of liquid feeding of swine on safety of Ontario pork products. Moreover, critical control points in pork production and strategies to enhance safety of Ontario pork products will be identified."	"To establish a database of co-products from the food industry that are currently used - or that may be used in the future - in liquid feeding systems for swine, including contents of key pathogens and chemical residues. To characterize changes in microflora during fermentation of selected pig feed ingredients (whey, corn distiller solubles and complete pig diets) that may or may not be incubated with beneficial bacteria (probiotics). To determine impacts of feeding non-fermented and fermented liquid feed on fecal excretion of pathogens and contamination of pork carcasses with pathogens and selected chemicals."	"University of Guelph"	"Lange, C.F.M. de"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2002/sf6017.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
